geo_area,name
1,World
10,Antarctica
100,Bulgaria
104,Myanmar
108,Burundi
11,Western Africa
112,Belarus
116,Cambodia
12,Algeria
120,Cameroon
124,Canada
127,Southern Asia (excluding India)
13,Central America
132,Cabo Verde
135,Caucasus and Central Asia
136,Cayman Islands
14,Eastern Africa
140,Central African Republic
142,Asia
143,Central Asia
144,Sri Lanka
145,Western Asia
148,Chad
15,Northern Africa
150,Europe
151,Eastern Europe
152,Chile
154,Northern Europe
155,Western Europe
156,China
158,Other non-specified areas
16,American Samoa
162,Christmas Island
166,Cocos (Keeling) Islands
17,Middle Africa
170,Colombia
174,Comoros
175,Mayotte
178,Congo
18,Southern Africa
180,Democratic Republic of the Congo
184,Cook Islands
188,Costa Rica
19,Americas
191,Croatia
192,Cuba
196,Cyprus
198,Organisation for Economic Co-operation and Development (OECD) Member States
199,Least Developed Countries (LDCs)
2,Africa
20,Andorra
202,Sub-Saharan Africa
203,Czechia
204,Benin
208,Denmark
21,Northern America
212,Dominica
214,Dominican Republic
218,Ecuador
222,El Salvador
223,Eastern Asia (excluding Japan and China)
226,Equatorial Guinea
231,Ethiopia
232,Eritrea
233,Estonia
234,Faroe Islands
238,Falkland Islands (Malvinas)
239,South Georgia and the South Sandwich Islands
24,Angola
242,Fiji
246,Finland
248,Åland Islands
250,France
254,French Guiana
258,French Polynesia
260,French Southern Territories
262,Djibouti
266,Gabon
268,Georgia
270,Gambia
275,State of Palestine
276,Germany
28,Antigua and Barbuda
288,Ghana
29,Caribbean
292,Gibraltar
296,Kiribati
30,Eastern Asia
300,Greece
304,Greenland
308,Grenada
31,Azerbaijan
312,Guadeloupe
316,Guam
32,Argentina
320,Guatemala
324,Guinea
328,Guyana
332,Haiti
334,Heard Island and McDonald Islands
336,Holy See
34,Southern Asia
340,Honduras
344,"China, Hong Kong Special Administrative Region"
348,Hungary
35,South-Eastern Asia
352,Iceland
356,India
36,Australia
360,Indonesia
364,Iran (Islamic Republic of)
368,Iraq
369,Iraq (Central Iraq)
370,Iraq (Kurdistan Region)
372,Ireland
376,Israel
380,Italy
384,Côte d'Ivoire
388,Jamaica
39,Southern Europe
392,Japan
398,Kazakhstan
4,Afghanistan
40,Austria
400,Jordan
404,Kenya
408,Democratic People's Republic of Korea
410,Republic of Korea
412,Kosovo
414,Kuwait
417,Kyrgyzstan
418,Lao People's Democratic Republic
419,Latin America and the Caribbean
420,Latin America
422,Lebanon
426,Lesotho
428,Latvia
430,Liberia
432,Landlocked developing countries (LLDCs)
434,Libya
438,Liechtenstein
44,Bahamas
440,Lithuania
442,Luxembourg
446,"China, Macao Special Administrative Region"
450,Madagascar
454,Malawi
458,Malaysia
462,Maldives
466,Mali
470,Malta
474,Martinique
478,Mauritania
48,Bahrain
480,Mauritius
484,Mexico
485,"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)"
492,Monaco
496,Mongolia
498,Republic of Moldova
499,Montenegro
5,South America
50,Bangladesh
500,Montserrat
504,Morocco
508,Mozambique
51,Armenia
512,Oman
513,Europe and Northern America
514,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)"
515,Developing regions
516,Namibia
518,Eastern Asia (excluding Japan)
52,Barbados
520,Nauru
524,Nepal
528,Netherlands
53,Australia and New Zealand
530,Netherlands Antilles
531,Curaçao
533,Aruba
534,Sint Maarten (Dutch part)
535,"Bonaire, Sint Eustatius and Saba"
54,Melanesia
540,New Caledonia
543,Oceania (exc. Australia and New Zealand)
548,Vanuatu
554,New Zealand
558,Nicaragua
56,Belgium
562,Niger
566,Nigeria
57,Micronesia
570,Niue
574,Norfolk Island
578,Norway
580,Northern Mariana Islands
581,United States Minor Outlying Islands
583,Micronesia (Federated States of)
584,Marshall Islands
585,Palau
586,Pakistan
591,Panama
593,Development Assistance Committee members (DAC)
598,Papua New Guinea
60,Bermuda
600,Paraguay
604,Peru
608,Philippines
61,Polynesia
612,Pitcairn
616,Poland
62,Central and Southern Asia
620,Portugal
624,Guinea-Bissau
626,Timor-Leste
630,Puerto Rico
634,Qatar
638,Réunion
64,Bhutan
642,Romania
643,Russian Federation
646,Rwanda
652,Saint Barthélemy
654,Saint Helena
659,Saint Kitts and Nevis
660,Anguilla
662,Saint Lucia
663,Saint Martin (French Part)
666,Saint Pierre and Miquelon
670,Saint Vincent and the Grenadines
674,San Marino
678,Sao Tome and Principe
68,Bolivia (Plurinational State of)
680,Sark
682,Saudi Arabia
686,Senegal
688,Serbia
690,Seychelles
694,Sierra Leone
70,Bosnia and Herzegovina
702,Singapore
703,Slovakia
704,Viet Nam
705,Slovenia
706,Somalia
710,South Africa
716,Zimbabwe
72,Botswana
722,Small island developing States (SIDS)
724,Spain
728,South Sudan
729,Sudan
732,Western Sahara
736,Sudan [former]
738,Sub-Saharan Africa (inc. Sudan)
74,Bouvet Island
740,Suriname
744,Svalbard and Jan Mayen Islands
746,Northern Africa (exc. Sudan)
747,Northern Africa and Western Asia
748,Eswatini
752,Sweden
753,Eastern and South-Eastern Asia
756,Switzerland
76,Brazil
760,Syrian Arab Republic
762,Tajikistan
764,Thailand
768,Togo
772,Tokelau
776,Tonga
780,Trinidad and Tobago
784,United Arab Emirates
788,Tunisia
792,Turkey
795,Turkmenistan
796,Turks and Caicos Islands
798,Tuvalu
8,Albania
800,Uganda
804,Ukraine
807,North Macedonia
818,Egypt
826,United Kingdom of Great Britain and Northern Ireland
827,United Kingdom (England and Wales)
828,United Kingdom (Northern Ireland)
829,United Kingdom (Scotland)
830,Channel Islands
831,Guernsey
832,Jersey
833,Isle of Man
834,United Republic of Tanzania
84,Belize
840,United States of America
850,United States Virgin Islands
854,Burkina Faso
858,Uruguay
86,British Indian Ocean Territory
860,Uzbekistan
862,Venezuela (Bolivarian Republic of)
876,Wallis and Futuna Islands
882,Samoa
887,Yemen
889,World Trade Organization (WTO) Member States
891,Serbia and Montenegro [former]
894,Zambia
9,Oceania
90,Solomon Islands
901,Africa (ILO)
902,Asia and the Pacific (ILO)
903,Central and Eastern Europe (ILO)
904,Middle East and North Africa (ILO)
905,Middle East (ILO)
906,North America (ILO)
907,Other regions (ILO)
908,Western Europe (ILO)
910,High income economies (WB)
911,Low income economies (WB)
912,Lower middle economies (WB)
913,Low and middle income economies (WB)
914,Upper middle economies (WB)
915,WTO Developing Member States
916,WTO Developed Member States
917,International Centers (FAO)
918,European Union (EU) Institutions
919,Regional Centres (FAO)
92,British Virgin Islands
920,Azores Islands
921,ODA residual
922,Custom groupings of data providers
96,Brunei Darussalam
97,European Union
99018,"FAO Major Fishing Area: Pacific, Eastern Central
"
99019,"FAO Major Fishing Area: Pacific, Northeast
"
99020,"FAO Major Fishing Area: Pacific, Northwest
"
99021,"FAO Major Fishing Area: Pacific, Western Central
"
99022,"FAO Major Fishing Area: Pacific, Southwest
"
99023,"FAO Major Fishing Area: Atlantic, Northwest
"
99024,"FAO Major Fishing Area: Atlantic, Northeast
"
99025,"FAO Major Fishing Area: Indian Ocean, Eastern
"
99026,"FAO Major Fishing Area: Atlantic, Southeast
"
99027,"FAO Major Fishing Area: Indian Ocean, Western
"
99028,"FAO Major Fishing Area: Atlantic, Western Central
"
99029,"FAO Major Fishing Area: Atlantic, Eastern Central
"
99030,"FAO Major Fishing Area: Atlantic, Southwest
"
99031,"FAO Major Fishing Area: Pacific, Southeast
"
99032,"FAO Major Fishing Area: Mediterranean and Black Sea
"
